City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
202,Pahrump,US,36.2083,-115.9839,66.0,21,92,5.99,overcast clouds
203,Nyurba,RU,63.2842,118.3319,23.7,72,96,16.62,overcast clouds
204,Leningradskiy,RU,69.3833,178.4167,29.25,81,84,3.98,broken clouds
205,Nishihara,JP,26.1842,127.7558,78.8,78,75,16.11,broken clouds
206,Kavieng,PG,-2.5744,150.7967,81.82,74,83,6.49,moderate rain
207,Kindersley,CA,51.4668,-109.1682,41.0,38,20,3.44,few clouds
208,Pringsewu,ID,-5.3582,104.9744,90.16,54,58,1.7,broken clouds
209,Saint-Francois,FR,46.4154,3.9054,33.01,93,0,3.22,clear sky
210,Severo-Kurilsk,RU,50.6789,156.125,37.6,63,80,5.88,broken clouds
211,Nelson Bay,AU,-32.7167,152.15,60.01,100,90,5.75,light rain
212,Progreso,MX,21.2833,-89.6667,78.8,83,40,5.75,scattered clouds
213,Evensk,RU,61.95,159.2333,22.64,84,100,4.7,overcast clouds
214,Olivenza,ES,38.6832,-7.103,46.4,76,0,1.14,clear sky
215,Auki,SB,-8.7676,160.7034,82.33,80,47,1.1,scattered clouds
216,Aklavik,CA,68.2191,-135.0107,28.4,69,94,1.14,overcast clouds
217,Narasannapeta,IN,18.4167,84.05,94.06,41,2,9.48,clear sky
218,Honiara,SB,-9.4333,159.95,82.22,84,70,3.87,broken clouds
219,Mitsamiouli,KM,-11.3847,43.2844,78.8,78,20,6.91,light rain
220,Sechura,PE,-5.5569,-80.8222,71.51,72,96,11.25,overcast clouds
221,Cristalina,BR,-16.7686,-47.6136,58.82,73,1,4.27,clear sky
222,Bartica,GY,6.4,-58.6167,75.2,94,20,1.5,few clouds
223,Oranjemund,NA,-28.55,16.4333,76.26,40,67,8.79,broken clouds
224,Hami,CN,42.8,93.45,70.95,6,2,2.68,clear sky
225,Umba,RU,66.6871,34.3429,38.64,84,57,10.67,broken clouds
226,Beringovskiy,RU,63.05,179.3167,31.77,86,88,15.93,overcast clouds
227,Narrabri,AU,-30.3167,149.7833,59.0,82,90,11.5,overcast clouds
228,Kryzhanivka,UA,46.5617,30.7949,48.2,87,0,4.47,clear sky
229,Xai-Xai,MZ,-25.0519,33.6442,71.06,56,75,13.78,broken clouds
230,Souillac,MU,-20.5167,57.5167,84.2,74,75,11.5,broken clouds
231,Bouna,CI,9.2667,-3.0,75.51,72,100,1.79,overcast clouds
